==================Begin of breast========================================================================
====================lambda:0.00001=============================================================
====================perceptron: breast lambda:0.00001================================
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
====================================================

=======================adaline: breast=============================
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
====================lambda:0.1================================
====================perceptron: breast lambda:0.00001================================
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
====================================================

=======================adaline: breast=============================
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
Precision:1.000000 Recall:0.985401 F1-measure:0.992647 Errorr=0.011429
==================End of breast==================================
==================Begin of ionosphere========================================================================
====================lambda:0.00001=============================================================
====================perceptron: ionosphere lambda:0.00001================================
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
====================================================

=======================adaline: ionosphere=============================
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
====================lambda:0.0001================================
====================perceptron: ionosphere lambda:0.00001================================
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
====================================================

=======================adaline: ionosphere=============================
Precision:1.000000 Recall:0.988636 F1-measure:0.994286 Errorr=0.011364
Precision:1.000000 Recall:0.988636 F1-measure:0.994286 Errorr=0.011364
Precision:1.000000 Recall:0.988636 F1-measure:0.994286 Errorr=0.011364
Precision:1.000000 Recall:0.988636 F1-measure:0.994286 Errorr=0.011364
Precision:1.000000 Recall:0.988636 F1-measure:0.994286 Errorr=0.011364
Precision:1.000000 Recall:0.988636 F1-measure:0.994286 Errorr=0.011364
Precision:1.000000 Recall:0.988636 F1-measure:0.994286 Errorr=0.011364
Precision:1.000000 Recall:0.988636 F1-measure:0.994286 Errorr=0.011364
Precision:1.000000 Recall:0.988636 F1-measure:0.994286 Errorr=0.011364
Precision:1.000000 Recall:0.988636 F1-measure:0.994286 Errorr=0.011364
Precision:1.000000 Recall:0.988636 F1-measure:0.994286 Errorr=0.011364
Precision:1.000000 Recall:0.988636 F1-measure:0.994286 Errorr=0.011364
Precision:1.000000 Recall:0.988636 F1-measure:0.994286 Errorr=0.011364
Precision:1.000000 Recall:0.988636 F1-measure:0.994286 Errorr=0.011364
Precision:1.000000 Recall:0.988636 F1-measure:0.994286 Errorr=0.011364
Precision:1.000000 Recall:0.988636 F1-measure:0.994286 Errorr=0.011364
Precision:1.000000 Recall:0.988636 F1-measure:0.994286 Errorr=0.011364
Precision:1.000000 Recall:0.988636 F1-measure:0.994286 Errorr=0.011364
Precision:1.000000 Recall:0.988636 F1-measure:0.994286 Errorr=0.011364
Precision:1.000000 Recall:0.988636 F1-measure:0.994286 Errorr=0.011364
====================lambda:0.001================================
====================perceptron: ionosphere lambda:0.00001================================
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
Precision:1.000000 Recall:0.977273 F1-measure:0.988506 Errorr=0.022727
====================================================

=======================adaline: ionosphere=============================
Precision:1.000000 Recall:0.943182 F1-measure:0.970760 Errorr=0.056818
Precision:1.000000 Recall:0.943182 F1-measure:0.970760 Errorr=0.056818
Precision:1.000000 Recall:0.943182 F1-measure:0.970760 Errorr=0.056818
Precision:1.000000 Recall:0.943182 F1-measure:0.970760 Errorr=0.056818
Precision:1.000000 Recall:0.943182 F1-measure:0.970760 Errorr=0.056818
Precision:1.000000 Recall:0.943182 F1-measure:0.970760 Errorr=0.056818
Precision:1.000000 Recall:0.943182 F1-measure:0.970760 Errorr=0.056818
Precision:1.000000 Recall:0.943182 F1-measure:0.970760 Errorr=0.056818
Precision:1.000000 Recall:0.943182 F1-measure:0.970760 Errorr=0.056818
Precision:1.000000 Recall:0.943182 F1-measure:0.970760 Errorr=0.056818
Precision:1.000000 Recall:0.943182 F1-measure:0.970760 Errorr=0.056818
Precision:1.000000 Recall:0.965909 F1-measure:0.982659 Errorr=0.034091
Precision:1.000000 Recall:0.965909 F1-measure:0.982659 Errorr=0.034091
Precision:1.000000 Recall:0.965909 F1-measure:0.982659 Errorr=0.034091
Precision:1.000000 Recall:0.965909 F1-measure:0.982659 Errorr=0.034091
Precision:1.000000 Recall:0.965909 F1-measure:0.982659 Errorr=0.034091
Precision:1.000000 Recall:0.965909 F1-measure:0.982659 Errorr=0.034091
Precision:1.000000 Recall:0.965909 F1-measure:0.982659 Errorr=0.034091
Precision:1.000000 Recall:0.965909 F1-measure:0.982659 Errorr=0.034091
Precision:1.000000 Recall:0.965909 F1-measure:0.982659 Errorr=0.034091
====================lambda:0.01================================
====================perceptron: ionosphere lambda:0.00001================================
Precision:1.000000 Recall:0.420455 F1-measure:0.592000 Errorr=0.579545
Precision:1.000000 Recall:0.420455 F1-measure:0.592000 Errorr=0.579545
Precision:1.000000 Recall:0.420455 F1-measure:0.592000 Errorr=0.579545
Precision:1.000000 Recall:0.420455 F1-measure:0.592000 Errorr=0.579545
Precision:1.000000 Recall:0.420455 F1-measure:0.592000 Errorr=0.579545
Precision:1.000000 Recall:0.420455 F1-measure:0.592000 Errorr=0.579545
Precision:1.000000 Recall:0.420455 F1-measure:0.592000 Errorr=0.579545
Precision:1.000000 Recall:0.420455 F1-measure:0.592000 Errorr=0.579545
Precision:1.000000 Recall:0.420455 F1-measure:0.592000 Errorr=0.579545
Precision:1.000000 Recall:0.420455 F1-measure:0.592000 Errorr=0.579545
Precision:1.000000 Recall:0.420455 F1-measure:0.592000 Errorr=0.579545
Precision:1.000000 Recall:0.420455 F1-measure:0.592000 Errorr=0.579545
Precision:1.000000 Recall:0.420455 F1-measure:0.592000 Errorr=0.579545
Precision:1.000000 Recall:0.420455 F1-measure:0.592000 Errorr=0.579545
Precision:1.000000 Recall:0.420455 F1-measure:0.592000 Errorr=0.579545
Precision:1.000000 Recall:0.420455 F1-measure:0.592000 Errorr=0.579545
Precision:1.000000 Recall:0.420455 F1-measure:0.592000 Errorr=0.579545
Precision:1.000000 Recall:0.420455 F1-measure:0.592000 Errorr=0.579545
Precision:1.000000 Recall:0.420455 F1-measure:0.592000 Errorr=0.579545
Precision:1.000000 Recall:0.420455 F1-measure:0.592000 Errorr=0.579545
====================================================

=======================adaline: ionosphere=============================
Precision:1.000000 Recall:0.909091 F1-measure:0.952381 Errorr=0.090909
Precision:1.000000 Recall:0.909091 F1-measure:0.952381 Errorr=0.090909
Precision:1.000000 Recall:0.909091 F1-measure:0.952381 Errorr=0.090909
Precision:1.000000 Recall:0.909091 F1-measure:0.952381 Errorr=0.090909
